Mv,Hc,Skew,Jdp,File
0.998,5.014,0.0,0.4,16.0
0.832,4.99665,0.0,0.4,17.0
0.998,5.03638,0.0,0.4,18.0
0.998,5.04859,0.0,0.4,19.0
0.998,5.05856,0.0,0.4,20.0
0.998,5.09042,0.0,0.4,21.0
0.998,5.90672,0.0,0.4,22.0
0.998,5.11418,0.0,0.4,23.0
0.998,5.14382,0.0,0.4,24.0
0.998,5.168,0.0,0.4,25.0
0.998,5.21374,0.0,0.4,26.0
0.998,5.24054,0.0,0.4,27.0
0.998,5.2579,0.0,0.4,28.0
0.854,4.98854,0.0,0.4,29.0
0.998,5.27961,0.0,0.4,30.0
0.998,5.30772,0.0,0.4,31.0
0.998,5.36371,0.0,0.4,32.0
0.894,4.98592,0.0,0.4,33.0
0.998,5.40184,0.0,0.4,34.0
0.998,5.42544,0.0,0.4,35.0
0.998,5.46219,0.0,0.4,36.0
0.998,5.50035,0.0,0.4,37.0
0.998,5.54234,0.0,0.4,38.0
0.998,5.57895,0.0,0.4,39.0
0.998,6.22133,0.0,0.4,40.0
0.91,4.97984,0.0,0.4,41.0
0.998,6.32485,0.0,0.4,42.0
0.928,4.98993,0.0,0.4,43.0
0.716,4.99034,0.0,0.45,0.0
0.998,5.5094,0.0,0.45,1.0
0.882,4.98828,0.0,0.45,2.0
0.902,4.99471,0.0,0.45,3.0
0.918,4.98973,0.0,0.45,4.0
0.738,4.99618,0.0,0.45,5.0
0.934,5.00057,0.0,0.45,6.0
0.948,5.0038,0.0,0.45,7.0
0.96,4.9887,0.0,0.45,8.0
0.972,4.98278,0.0,0.45,9.0
0.978,4.98602,0.0,0.45,10.0
0.804,4.98704,0.0,0.45,11.0
0.986,4.98977,0.0,0.45,12.0
0.99,4.98223,0.0,0.45,13.0
0.994,4.9826,0.0,0.45,14.0
0.996,4.99035,0.0,0.45,15.0
0.998,4.99753,0.0,0.45,16.0
0.762,4.99621,0.0,0.45,17.0
0.998,5.00322,0.0,0.45,18.0
0.998,5.02156,0.0,0.45,19.0
0.998,5.03531,0.0,0.45,20.0
0.998,5.04144,0.0,0.45,21.0
0.998,5.76949,0.0,0.45,22.0
0.998,5.05865,0.0,0.45,23.0
0.998,5.08451,0.0,0.45,24.0
0.998,5.10742,0.0,0.45,25.0
0.998,5.13381,0.0,0.45,26.0
0.998,5.15405,0.0,0.45,27.0
0.998,5.20629,0.0,0.45,28.0
0.782,4.99674,0.0,0.45,29.0
0.998,5.22893,0.0,0.45,30.0
0.998,5.24852,0.0,0.45,31.0
0.998,5.26567,0.0,0.45,32.0
0.824,4.99016,0.0,0.45,33.0
0.998,5.30668,0.0,0.45,34.0
0.998,5.33057,0.0,0.45,35.0
0.998,5.36363,0.0,0.45,36.0
0.998,5.39939,0.0,0.45,37.0
0.998,5.42519,0.0,0.45,38.0
0.998,5.46906,0.0,0.45,39.0
0.998,6.07844,0.0,0.45,40.0
0.844,4.98336,0.0,0.45,41.0
0.998,6.29293,0.0,0.45,42.0
0.862,4.98849,0.0,0.45,43.0
0.998,6.45458,0.0,0.45,44.0
0.662,4.98612,0.0,0.5,0.0
0.998,5.42669,0.0,0.5,1.0
0.816,4.99019,0.0,0.5,2.0
0.836,4.9883,0.0,0.5,3.0
0.852,4.99313,0.0,0.5,4.0
0.678,4.98556,0.0,0.5,5.0
0.874,4.99495,0.0,0.5,6.0
0.892,4.99463,0.0,0.5,7.0
0.908,4.99719,0.0,0.5,8.0
0.924,4.99549,0.0,0.5,9.0
0.938,4.99151,0.0,0.5,10.0
0.732,4.98905,0.0,0.5,11.0
0.954,4.98209,0.0,0.5,12.0
0.966,4.98677,0.0,0.5,13.0
0.974,4.9798,0.0,0.5,14.0
0.98,4.98386,0.0,0.5,15.0
0.988,4.9858,0.0,0.5,16.0
0.694,4.99018,0.0,0.5,17.0
0.992,4.98833,0.0,0.5,18.0
0.996,4.98779,0.0,0.5,19.0
0.996,5.00084,0.0,0.5,20.0
0.998,5.01654,0.0,0.5,21.0
0.998,5.69514,0.0,0.5,22.0
0.998,5.03222,0.0,0.5,23.0
0.998,5.04028,0.0,0.5,24.0
0.998,5.0653,0.0,0.5,25.0
0.998,5.08671,0.0,0.5,26.0
0.998,5.1073,0.0,0.5,27.0
0.998,5.13437,0.0,0.5,28.0
0.712,4.99312,0.0,0.5,29.0
0.998,5.15479,0.0,0.5,30.0
0.998,5.19135,0.0,0.5,31.0
0.998,5.21363,0.0,0.5,32.0
0.754,4.99169,0.0,0.5,33.0
0.998,5.2455,0.0,0.5,34.0
0.998,5.25753,0.0,0.5,35.0
0.998,5.29102,0.0,0.5,36.0
0.998,5.32893,0.0,0.5,37.0
0.998,5.34511,0.0,0.5,38.0
0.998,5.3856,0.0,0.5,39.0
0.998,5.9814,0.0,0.5,40.0
0.774,4.98896,0.0,0.5,41.0
0.998,6.18806,0.0,0.5,42.0
0.796,4.98574,0.0,0.5,43.0
0.998,6.49838,0.0,0.5,44.0
0.61,4.98074,0.0,0.55,0.0
0.998,5.34444,0.0,0.55,1.0
0.746,4.9881,0.0,0.55,2.0
0.764,4.98494,0.0,0.55,3.0
0.786,4.98501,0.0,0.55,4.0
0.624,4.98153,0.0,0.55,5.0
0.806,4.993,0.0,0.55,6.0
0.826,4.99767,0.0,0.55,7.0
0.844,4.99235,0.0,0.55,8.0
0.864,4.9934,0.0,0.55,9.0
0.882,4.99578,0.0,0.55,10.0
